85,KOWLOON CITY FERRY
85,FO TAN   (SHAN MEI ST)
85A,KOWLOON CITY FERRY
85A,KWONG YUEN
85B,KOWLOON CITY FERRY
85B,CHUN SHEK
85K,SHATIN STATION
85K,HENG ON
85M,WONG TAI SIN (CIRCULAR)
85S,HUNG HOM (HUNG LUEN ROAD)
85X,HUNG HOM (HUNG LUEN ROAD)
85X,HUNG HOM (HUNG LUEN ROAD)
85X,MA ON SHAN TOWN CENTRE
86,MEI FOO
86,WONG NAI TAU
86A,CHEUNG SHA WAN (KOM TSUN STREET)
86A,SHATIN WAI
86C,CHEUNG SHA WAN
86C,LEE ON
86K,SHATIN STATION
86K,KAM YING COURT
86S,SHATIN STATION
86S,SHATIN STATION
86S,KAM YING COURT
87B,ISLAND HARBOURVIEW
87B,SUN TIN WAI
87D,HUNG HOM STATION
87D,HUNG HOM STATION
87D,HUNG HOM STATION
87D,KAM YING COURT
87E,TSIM SHA TSUI
87E,NAI CHUNG
87K,KAM YING COURT (CIRCULAR)
87K,KAM YING COURT (CIRCULAR)
87K,UNIVERSITY STATION
87K,UNIVERSITY STATION
87K,LEE ON
87P,CHUNG ON
87R,WU KAI SHA STATION
87S,KAM YING COURT (CIRCULAR)
87S,UNIVERSITY STATION (CIRCULAR)
88,TAI WAI STATION
88,SAU MAU PING (CENTRAL)
88K,ROYAL ASCOT
88K,HIN KENG
88X,PING TIN
88X,PING TIN
88X,FO TAN CHUN YEUNG ESTATE
88X,FO TAN CHUN YEUNG ESTATE
89,KWUN TONG STATION
89,LEK YUEN
89B,KWUN TONG STATION
89B,SHATIN WAI
89C,KWUN TONG (TSUI PING ROAD)
89C,KWUN TONG (TSUI PING ROAD)
89C,HENG ON
89D,LAM TIN STATION
89D,WU KAI SHA STATION
89D,WU KAI SHA STATION
89P,LAM TIN STATION
89S,WU KAI SHA STATION (CIRCULAR)
89S,WU KAI SHA STATION
89X,KWUN TONG (TSUI PING ROAD)
89X,SHATIN STATION
91,DIAMOND HILL STATION
91,CLEAR WATER BAY
91,CLEAR WATER BAY
91A,CHOI HUNG ESTATE (HUNG NGOK HOUSE)
91A,CLEAR WATER BAY
91M,DIAMOND HILL STATION
91M,PO LAM
91M,PO LAM
91P,H.K.U.S.T (NORTH)
91P,PING SHEK / CHOI HUNG STATION
91R,TSEUNG KWAN O (CHOI MING)
91S,HANG HAU STATION
92,DIAMOND HILL STATION
92,SAI KUNG
92R,STAR FERRY
92R,SAI KUNG
93A,KWUN TONG FERRY
93A,PO LAM
93K,MONG KOK EAST STATION
93K,PO LAM
93M,PO LAM
94,SAI KUNG
94,WONG SHEK PIER
95,JORDAN (WEST KOWLOON STATION)
95,TSUI LAM
95M,KWUN TONG (ELEGANCE ROAD)
95M,TSUI LAM
96R,WONG SHEK PIER
96R,DIAMOND HILL STATION
98,NGAU TAU KOK STATION(CIRCULAR)
98A,NGAU TAU KOK STATION (CIRCULAR)
98A,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL)
98B,KWUN TONG STATION
98C,MEI FOO
98C,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL)
98D,TSIM SHA TSUI EAST
98D,TSIM SHA TSUI EAST
98D,TSIM SHA TSUI EAST
98D,TSIM SHA TSUI EAST
98D,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL)
98P,TSIM SHA TSUI EAST
98P,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL)
98R,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL)
98S,MEI FOO
98S,LOHAS PARK STATION
99,SAI KUNG
99,HENG ON
99R,SAI KUNG NORTH (SAI KUNG POLICE STATION)
99R,UNIVERSITY STATION
101,KENNEDY TOWN
101,DES VOEUX RD CENTRAL
101,BELCHER'S STREET
101,KENNEDY TOWN
101,KWUN TONG (YUE MAN SQUARE)
101,KWUN TONG (YUE MAN SQUARE)
101,KWUN TONG (YUE MAN SQUARE)
101R,KWUN TONG (YUE MAN SQUARE)
101X,KENNEDY TOWN
101X,KENNEDY TOWN
101X,KWUN TONG (YUE MAN SQUARE)
102,MEI FOO
102,SHAU KEI WAN
102P,MEI FOO
102P,SHAU KEI WAN
102P,SHAU KEI WAN
102R,MEI FOO
103,POKFIELD RD
103,CHUK YUEN ESTATE
104,Sham Shui Po (Pak Tin Estate)
104,MONG KOK (NELSON STREET)
104,Sham Shui Po (Pak Tin Estate)
104,Sham Shui Po (Pak Tin Estate)
104,KENNEDY TOWN
104,DES VOEUX ROAD CENTRAL
104,QUEEN VICTORIA STREET
104,KENNEDY TOWN
104R,MONG KOK
105R,MEI FOO
106,SIU SAI WAN (ISLAND RESORT)
106,SIU SAI WAN (ISLAND RESORT)
106,SIU SAI WAN (ISLAND RESORT)
106,ISLAND PLACE
106,WONG TAI SIN
106,WONG TAI SIN
106A,TAI KOO (KORNHILL PLAZA)
106P,SIU SAI WAN (ISLAND RESORT)
106P,WONG TAI SIN
106P,WONG TAI SIN
107,WAH KWAI
107,WAH KWAI
107,KOWLOON BAY
107,KOWLOON BAY
107P,CYBERPORT
107P,LAGUNA VERDE
108,BRAEMAR HILL
108,CAUSEWAY BAY (PENNINGTON STREET)
108,KAI YIP
109,CENTRAL (MACAU FERRY)
109,HO MAN TIN
110,TSIM SHA TSUI (CIRCULAR)
110,TSIM SHA TSUI EAST (MODY ROAD)
110,NORTH POINT (TIN CHUI STREET)
111,CENTRAL (MACAU FERRY)
111,CENTRAL (MACAU FERRY)
111,ADMIRALTY
111,CENTRAL (MACAU FERRY)
111,PING SHEK / CHOI HUNG STATION
111P,CENTRAL (MACAU FERRY)
111P,CHOI FOOK
111R,KWUN TONG (YUE MAN SQUARE)
112,CHEUNG SHA WAN (SO UK ESTATE)
112,NORTH POINT (PAK FUK ROAD)
113,KENNEDY TOWN (BELCHER BAY)
113,CHOI HUNG
115,CENTRAL (MACAU FERRY)
115,CENTRAL (MACAU FERRY)
115,KOWLOON CITY FERRY
115P,CENTRAL (MACAU FERRY)
116,QUARRY BAY (YAU MAN STREET)
116,TSZ WAN SHAN (CENTRAL)
116,TSZ WAN SHAN (CENTRAL)
116,TSZ WAN SHAN (CENTRAL)
117,HAPPY VALLEY (LOWER)
117,SHAM SHUI PO (YEN CHOW ST)
117R,MONG KOK (BUTE STREET)
118,SIU SAI WAN (ISLAND RESORT)
118,SIU SAI WAN (ISLAND RESORT)
118,SIU SAI WAN (ISLAND RESORT)
118,CHEUNG SHA WAN (SHAM MONG ROAD)
118,MONG KOK (KEI WING PRIMARY SCHOOL)
118,CHEUNG SHA WAN (SHAM MONG ROAD)
118P,CHEUNG SHA WAN (SHAM MONG ROAD)
118P,KEI WING PRIMARY SCHOOL
118P,SIU SAI WAN (ISLAND RESORT)
168R,YUEN LONG (WEST)
170,WAH FU (CENTRAL)
170,WAH FU (CENTRAL)
170,SHATIN STATION
170,SHATIN STATION
171,SOUTH HORIZONS
171,SOUTH HORIZONS
171,LEI TUNG ESTATE
171,SOUTH HORIZONS
171,SOUTH HORIZONS
171,LAI CHI KOK
171,LAI CHI KOK
171,LAI CHI KOK
171A,LAI CHI KOK
171P,LAI CHI KOK
178R,SAN TIN PUBLIC TRANSPORT INTERCHANGE
182,CENTRAL (MACAU FERRY)
182,YU CHUI COURT
182X,YU CHUI COURT
191R,LOHAS PARK
202,MONG KOK (CIRCULAR)
203C,TSIM SHA TSUI EAST (MODY ROAD)
203C,SHAM SHUI PO (TAI HANG TUNG)
203C,SHAM SHUI PO (TAI HANG TUNG)
203E,KOWLOON STATION
203E,CHOI HUNG
203S,TSIM SHA TSUI EAST (MODY ROAD)
203X,JORDAN (BATTERY STREET)
208,TSIM SHA TSUI EAST
208,BROADCAST DRIVE
211,WONG TAI SIN STATION (CIRCULAR)
211A,TSUI CHUK GARDEN (CIRCULAR)
213A,PING SHEK / CHOI HUNG STATION
213B,KWUN TONG (CIRCULAR)
213D,MONG KOK (CIRCULAR)
213M,LAM TIN STATION (CIRCULAR)
213S,LAM TIN STATION (CIRCULAR)
213X,TSIM SHA TSUI (CIRCULAR)
213X,TSIM SHA TSUI (CIRCULAR)
214,CHEUNG SHA WAN (KOM TSUN STREET)
